model_pair,metric,block_length,ci_low,ci_high,ci_width
LR_vs_MLP,MSE,24,-1.625727,-0.947281,0.678446
LR_vs_MLP,MSE,48,-1.637732,-0.950518,0.687214
LR_vs_MLP,MSE,96,-1.629384,-0.90373,0.725654
LR_vs_MLP,MSE,192,-1.56306,-0.88843,0.67463
LR_vs_MLP,MAE,24,-0.302378,-0.2258,0.076578
LR_vs_MLP,MAE,48,-0.305925,-0.220351,0.085574
LR_vs_MLP,MAE,96,-0.310649,-0.210706,0.099943
LR_vs_MLP,MAE,192,-0.305096,-0.202399,0.102697
LR_vs_MLP,RMSE,24,-0.303637,-0.193078,0.110559
LR_vs_MLP,RMSE,48,-0.304437,-0.187549,0.116888
LR_vs_MLP,RMSE,96,-0.305557,-0.180714,0.124843
LR_vs_MLP,RMSE,192,-0.293806,-0.175043,0.118762
LR_vs_LSTM,MSE,24,-5.064335,-3.644377,1.419958
LR_vs_LSTM,MSE,48,-5.231731,-3.472499,1.759232
LR_vs_LSTM,MSE,96,-5.24576,-3.411795,1.833965
LR_vs_LSTM,MSE,192,-5.390842,-3.419026,1.971817
LR_vs_LSTM,MAE,24,-0.636548,-0.523638,0.11291
LR_vs_LSTM,MAE,48,-0.648039,-0.51062,0.137419
LR_vs_LSTM,MAE,96,-0.654919,-0.497036,0.157884
LR_vs_LSTM,MAE,192,-0.664427,-0.491711,0.172716
LR_vs_LSTM,RMSE,24,-0.841077,-0.61194,0.229138
LR_vs_LSTM,RMSE,48,-0.86095,-0.588757,0.272193
LR_vs_LSTM,RMSE,96,-0.86776,-0.581878,0.285882
LR_vs_LSTM,RMSE,192,-0.86386,-0.581777,0.282083
LR_vs_TFT,MSE,24,-6.498909,-4.957488,1.541421
LR_vs_TFT,MSE,48,-6.67627,-4.738215,1.938056
LR_vs_TFT,MSE,96,-6.69662,-4.623538,2.073082
LR_vs_TFT,MSE,192,-6.746445,-4.60457,2.141875
LR_vs_TFT,MAE,24,-0.855043,-0.728912,0.126131
LR_vs_TFT,MAE,48,-0.870014,-0.711651,0.158363
LR_vs_TFT,MAE,96,-0.870317,-0.686711,0.183606
LR_vs_TFT,MAE,192,-0.877338,-0.664094,0.213244
LR_vs_TFT,RMSE,24,-1.056089,-0.813476,0.242613
LR_vs_TFT,RMSE,48,-1.067891,-0.7873,0.280591
LR_vs_TFT,RMSE,96,-1.074294,-0.763876,0.310418
LR_vs_TFT,RMSE,192,-1.063432,-0.76384,0.299593
MLP_vs_LSTM,MSE,24,-3.923498,-2.255658,1.66784
MLP_vs_LSTM,MSE,48,-4.050691,-2.100625,1.950066
MLP_vs_LSTM,MSE,96,-4.137371,-2.052947,2.084425
MLP_vs_LSTM,MSE,192,-4.250194,-2.165078,2.085117
MLP_vs_LSTM,MAE,24,-0.380661,-0.253119,0.127542
MLP_vs_LSTM,MAE,48,-0.394508,-0.238377,0.156131
MLP_vs_LSTM,MAE,96,-0.40443,-0.231729,0.172701
MLP_vs_LSTM,MAE,192,-0.41507,-0.240268,0.174802
MLP_vs_LSTM,RMSE,24,-0.60836,-0.3534,0.25496
MLP_vs_LSTM,RMSE,48,-0.632423,-0.33138,0.301044
MLP_vs_LSTM,RMSE,96,-0.641093,-0.318595,0.322498
MLP_vs_LSTM,RMSE,192,-0.652426,-0.338516,0.313909
MLP_vs_TFT,MSE,24,-5.326345,-3.556662,1.769683
MLP_vs_TFT,MSE,48,-5.488093,-3.33734,2.150753
MLP_vs_TFT,MSE,96,-5.573309,-3.273101,2.300209
MLP_vs_TFT,MSE,192,-5.558873,-3.385651,2.173222
MLP_vs_TFT,MAE,24,-0.591957,-0.465766,0.126191
MLP_vs_TFT,MAE,48,-0.601089,-0.446282,0.154807
MLP_vs_TFT,MAE,96,-0.612239,-0.436457,0.175782
MLP_vs_TFT,MAE,192,-0.627012,-0.422771,0.204241
MLP_vs_TFT,RMSE,24,-0.808801,-0.560652,0.248149
MLP_vs_TFT,RMSE,48,-0.82972,-0.53011,0.299609
MLP_vs_TFT,RMSE,96,-0.845614,-0.516765,0.328849
MLP_vs_TFT,RMSE,192,-0.847998,-0.525915,0.322084
LSTM_vs_TFT,MSE,24,-1.759966,-1.003308,0.756658
LSTM_vs_TFT,MSE,48,-1.759911,-0.92266,0.837251
LSTM_vs_TFT,MSE,96,-1.72454,-0.873602,0.850938
LSTM_vs_TFT,MSE,192,-1.616606,-0.842607,0.773998
LSTM_vs_TFT,MAE,24,-0.251149,-0.173107,0.078041
LSTM_vs_TFT,MAE,48,-0.254606,-0.162288,0.092319
LSTM_vs_TFT,MAE,96,-0.256137,-0.15366,0.102478
LSTM_vs_TFT,MAE,192,-0.241815,-0.152335,0.089479
LSTM_vs_TFT,RMSE,24,-0.260045,-0.151297,0.108748
LSTM_vs_TFT,RMSE,48,-0.263262,-0.140446,0.122816
LSTM_vs_TFT,RMSE,96,-0.262954,-0.132268,0.130686
LSTM_vs_TFT,RMSE,192,-0.246976,-0.12385,0.123126
