model_pair,metric,mean_diff,ci_low,ci_high,bootstrap_n,bootstrap_seed,block_length,n_test_windows
LR_vs_MLP,MSE,-1.270611,-1.58303,-0.88068,10000,2026,96,3365
LR_vs_MLP,MAE,-0.260448,-0.301583,-0.206169,10000,2026,96,3365
LR_vs_MLP,RMSE,-0.24845,-0.298103,-0.177971,10000,2026,96,3365
LR_vs_LSTM,MSE,-4.413084,-5.318296,-3.410152,10000,2026,96,3365
LR_vs_LSTM,MAE,-0.586847,-0.658561,-0.497758,10000,2026,96,3365
LR_vs_LSTM,RMSE,-0.739074,-0.87176,-0.575593,10000,2026,96,3365
LR_vs_TFT,MSE,-5.7912,-6.741966,-4.612476,10000,2026,96,3365
LR_vs_TFT,MAE,-0.799158,-0.873996,-0.687095,10000,2026,96,3365
LR_vs_TFT,RMSE,-0.944549,-1.071772,-0.76736,10000,2026,96,3365
MLP_vs_LSTM,MSE,-3.142473,-4.199145,-2.0947,10000,2026,96,3365
MLP_vs_LSTM,MAE,-0.326398,-0.413099,-0.238654,10000,2026,96,3365
MLP_vs_LSTM,RMSE,-0.490624,-0.649368,-0.324561,10000,2026,96,3365
MLP_vs_TFT,MSE,-4.520589,-5.594069,-3.324719,10000,2026,96,3365
MLP_vs_TFT,MAE,-0.53871,-0.617334,-0.442398,10000,2026,96,3365
MLP_vs_TFT,RMSE,-0.696099,-0.841591,-0.525371,10000,2026,96,3365
LSTM_vs_TFT,MSE,-1.378116,-1.730803,-0.885637,10000,2026,96,3365
LSTM_vs_TFT,MAE,-0.212311,-0.256155,-0.153113,10000,2026,96,3365
LSTM_vs_TFT,RMSE,-0.205475,-0.264532,-0.131254,10000,2026,96,3365
