model,seed,baseline_mse,aopc,gap_std_across_k
LR,deterministic,0.34983164,0.20154171,1.18436025
MLP,42,0.48416476,0.11802315,0.06278454
MLP,123,0.49898018,0.10668098,0.08554882
MLP,456,0.43882218,0.208835,0.13361152
MLP,789,0.47169765,0.11479304,0.08284219
MLP,1024,0.48527381,0.08042927,0.06458773
LSTM,42,0.58405967,0.17832657,0.16705624
LSTM,123,0.62391784,0.21792632,0.14453331
LSTM,456,0.69432507,0.29047531,0.17016189
LSTM,789,0.57881753,0.31138224,0.22220752
LSTM,1024,0.5874454,0.15879144,0.10557798
TFT,42,0.65515545,0.16175493,0.13429705
TFT,123,0.64641629,-0.0134987,0.09638054
TFT,456,0.65586712,0.31703856,0.17915436
TFT,789,0.63100083,0.33453491,0.32097697
TFT,1024,1.05726499,0.10248574,0.06967649
