model,seed,k,baseline_mse,top_mse_increase,bot_mse_increase,gap
LR,deterministic,1,0.34983164,2.30040025,0.09009193,2.21030832
LR,deterministic,2,0.34983164,0.40716197,0.18556603,0.22159594
LR,deterministic,3,0.34983164,0.81922387,0.33064207,0.4885818
LR,deterministic,4,0.34983164,0.56057164,0.50786182,0.05270982
LR,deterministic,5,0.34983164,0.76665709,0.47455163,0.29210546
LR,deterministic,6,0.34983164,0.86710513,2.72161448,-1.85450935
LR,deterministic,7,0.34983164,0.90364577,0.90364577,0.0
MLP,42,1,0.48416476,0.10420363,0.01738974,0.08681389
MLP,42,2,0.48416476,0.17920752,0.0470523,0.13215522
MLP,42,3,0.48416476,0.28524858,0.09112574,0.19412284
MLP,42,4,0.48416476,0.37326497,0.21092533,0.16233965
MLP,42,5,0.48416476,0.63852614,0.5316713,0.10685484
MLP,42,6,0.48416476,0.76785216,0.62397656,0.1438756
MLP,42,7,0.48416476,0.77407604,0.77407604,0.0
MLP,123,1,0.49898018,0.10449924,-0.00237643,0.10687567
MLP,123,2,0.49898018,0.19345374,0.02099525,0.17245849
MLP,123,3,0.49898018,0.30385407,0.06240483,0.24144924
MLP,123,4,0.49898018,0.38364449,0.34687565,0.03676884
MLP,123,5,0.49898018,0.62217912,0.478265,0.14391412
MLP,123,6,0.49898018,0.72657488,0.68127434,0.04530054
MLP,123,7,0.49898018,0.73826413,0.73826413,0.0
MLP,456,1,0.43882218,0.13726284,0.02454398,0.11271886
MLP,456,2,0.43882218,0.25809146,0.07786127,0.18023019
MLP,456,3,0.43882218,0.54150385,0.19063492,0.35086893
MLP,456,4,0.43882218,0.59459335,0.25216744,0.34242591
MLP,456,5,0.43882218,0.67177665,0.35107421,0.32070244
MLP,456,6,0.43882218,0.81440293,0.65950428,0.15489865
MLP,456,7,0.43882218,0.81714869,0.81714869,0.0
MLP,789,1,0.47169765,0.11927874,0.02018928,0.09908946
MLP,789,2,0.47169765,0.22072072,0.04822103,0.17249969
MLP,789,3,0.47169765,0.33387135,0.08698758,0.24688377
MLP,789,4,0.47169765,0.44030701,0.37964144,0.06066557
MLP,789,5,0.47169765,0.67398233,0.51687746,0.15710487
MLP,789,6,0.47169765,0.67756584,0.61025791,0.06730792
MLP,789,7,0.47169765,0.7835902,0.7835902,0.0
MLP,1024,1,0.48527381,0.10008147,0.019299,0.08078247
MLP,1024,2,0.48527381,0.17002417,0.04964384,0.12038033
MLP,1024,3,0.48527381,0.27486548,0.09407002,0.18079546
MLP,1024,4,0.48527381,0.37858846,0.36233998,0.01624847
MLP,1024,5,0.48527381,0.63617761,0.51660284,0.11957477
MLP,1024,6,0.48527381,0.7507762,0.70555281,0.04522339
MLP,1024,7,0.48527381,0.75963328,0.75963328,0.0
LSTM,42,1,0.58405967,0.17054746,5.859e-05,0.17048887
LSTM,42,2,0.58405967,0.25362868,0.0156585,0.23797018
LSTM,42,3,0.58405967,0.31890905,0.05080754,0.26810152
LSTM,42,4,0.58405967,0.48303208,0.42362803,0.05940405
LSTM,42,5,0.58405967,0.55104049,0.51591052,0.03512997
LSTM,42,6,0.58405967,1.104809,0.62761758,0.47719142
LSTM,42,7,0.58405967,1.13909747,1.13909747,0.0
LSTM,123,1,0.62391784,0.12631106,-0.00623622,0.13254727
LSTM,123,2,0.62391784,0.24738168,0.04138919,0.20599249
LSTM,123,3,0.62391784,0.38945204,0.09765037,0.29180167
LSTM,123,4,0.62391784,0.52927536,0.2081454,0.32112996
LSTM,123,5,0.62391784,0.68459585,0.5471934,0.13740245
LSTM,123,6,0.62391784,1.06337596,0.62676555,0.43661041
LSTM,123,7,0.62391784,0.99380588,0.99380588,0.0
LSTM,456,1,0.69432507,0.1668957,-0.0537871,0.22068281
LSTM,456,2,0.69432507,0.23092476,-0.0296318,0.26055655
LSTM,456,3,0.69432507,0.41207073,0.03356793,0.3785028
LSTM,456,4,0.69432507,0.51067684,0.17155595,0.33912089
LSTM,456,5,0.69432507,0.5546239,0.28116004,0.27346386
LSTM,456,6,0.69432507,0.91778793,0.35678766,0.56100026
LSTM,456,7,0.69432507,0.65265842,0.65265842,0.0
LSTM,789,1,0.57881753,0.11217066,-0.00058545,0.11275611
LSTM,789,2,0.57881753,0.22779499,0.0075298,0.22026519
LSTM,789,3,0.57881753,0.42812282,0.02458125,0.40354158
LSTM,789,4,0.57881753,0.65001356,0.10967805,0.54033551
LSTM,789,5,0.57881753,0.48741522,0.19638089,0.29103433
LSTM,789,6,0.57881753,1.28227318,0.67053023,0.61174295
LSTM,789,7,0.57881753,0.79434262,0.79434262,0.0
LSTM,1024,1,0.5874454,0.1286423,-0.00859948,0.13724178
LSTM,1024,2,0.5874454,0.25430561,0.01067599,0.24362962
LSTM,1024,3,0.5874454,0.34569039,0.25228876,0.09340163
LSTM,1024,4,0.5874454,0.38678264,0.2867019,0.10008074
LSTM,1024,5,0.5874454,0.61249016,0.37682128,0.23566887
LSTM,1024,6,0.5874454,1.20664691,0.90512945,0.30151746
LSTM,1024,7,0.5874454,1.05578503,1.05578503,0.0
TFT,42,1,0.65515545,0.24692136,0.00712422,0.23979714
TFT,42,2,0.65515545,0.20637753,0.03575839,0.17061914
TFT,42,3,0.65515545,0.23667946,0.04869738,0.18798208
TFT,42,4,0.65515545,0.14386069,0.06789439,0.07596631
TFT,42,5,0.65515545,0.20428174,0.14678581,0.05749593
TFT,42,6,0.65515545,0.69720693,0.29678302,0.40042392
TFT,42,7,0.65515545,0.711084,0.711084,0.0
TFT,123,1,0.64641629,0.10469554,0.00860321,0.09609233
TFT,123,2,0.64641629,0.1649525,0.03815965,0.12679285
TFT,123,3,0.64641629,0.21215565,0.26206411,-0.04990846
TFT,123,4,0.64641629,0.24418231,0.27534634,-0.03116403
TFT,123,5,0.64641629,0.42396588,0.5547439,-0.13077802
