model,seed,variable,baseline_mse,occluded_mse,importance
LR,deterministic,HUFL,0.34983164,2.65023189,2.30040025
LR,deterministic,HULL,0.34983164,0.55700517,0.20717353
LR,deterministic,MUFL,0.34983164,2.570173,2.22034136
LR,deterministic,MULL,0.34983164,0.67583327,0.32600163
LR,deterministic,LUFL,0.34983164,0.43992357,0.09009193
LR,deterministic,LULL,0.34983164,0.45756778,0.10773614
LR,deterministic,OT,0.34983164,0.52906222,0.17923058
MLP,42,HUFL,0.46949563,0.51742866,0.04793302
MLP,42,HULL,0.46949563,0.52005282,0.05055719
MLP,42,MUFL,0.46949563,0.53442505,0.06492942
MLP,42,MULL,0.46949563,0.53806749,0.06857186
MLP,42,LUFL,0.46949563,0.49354322,0.02404758
MLP,42,LULL,0.46949563,0.53545856,0.06596293
MLP,42,OT,0.46949563,0.5790635,0.10956786
MLP,123,HUFL,0.49898018,0.5422875,0.04330732
MLP,123,HULL,0.49898018,0.52293022,0.02395004
MLP,123,MUFL,0.49898018,0.54856358,0.0495834
MLP,123,MULL,0.49898018,0.5758834,0.07690322
MLP,123,LUFL,0.49898018,0.49660376,-0.00237643
MLP,123,LULL,0.49898018,0.60347943,0.10449924
MLP,123,OT,0.49898018,0.59955992,0.10057974
MLP,456,HUFL,0.43882218,0.52453223,0.08571005
MLP,456,HULL,0.43882218,0.49032429,0.05150211
MLP,456,MUFL,0.43882218,0.52199502,0.08317284
MLP,456,MULL,0.43882218,0.4916129,0.05279072
MLP,456,LUFL,0.43882218,0.46336616,0.02454398
MLP,456,LULL,0.43882218,0.49574916,0.05692698
MLP,456,OT,0.43882218,0.57608502,0.13726284
MLP,789,HUFL,0.47169765,0.52140354,0.04970589
MLP,789,HULL,0.47169765,0.49188693,0.02018928
MLP,789,MUFL,0.47169765,0.51418309,0.04248543
MLP,789,MULL,0.47169765,0.56136947,0.08967182
MLP,789,LUFL,0.47169765,0.49456199,0.02286434
MLP,789,LULL,0.47169765,0.58081911,0.10912146
MLP,789,OT,0.47169765,0.5909764,0.11927874
MLP,1024,HUFL,0.48527381,0.52984869,0.04457488
MLP,1024,HULL,0.48527381,0.51462586,0.02935206
MLP,1024,MUFL,0.48527381,0.5382683,0.05299449
MLP,1024,MULL,0.48527381,0.57657563,0.09130182
MLP,1024,LUFL,0.48527381,0.5045728,0.019299
MLP,1024,LULL,0.48527381,0.58535527,0.10008147
MLP,1024,OT,0.48527381,0.5776681,0.09239429
LSTM,42,HUFL,0.58405967,0.62455145,0.04049178
LSTM,42,HULL,0.58405967,0.66561029,0.08155062
LSTM,42,MUFL,0.58405967,0.61037632,0.02631665
LSTM,42,MULL,0.58405967,0.62351878,0.03945911
LSTM,42,LUFL,0.58405967,0.58411826,5.859e-05
LSTM,42,LULL,0.58405967,0.67870391,0.09464424
LSTM,42,OT,0.58405967,0.75460713,0.17054746
LSTM,123,HUFL,0.62391784,0.64616058,0.02224275
LSTM,123,HULL,0.62391784,0.6775759,0.05365806
LSTM,123,MUFL,0.62391784,0.69618831,0.07227047
LSTM,123,MULL,0.62391784,0.68419806,0.06028022
LSTM,123,LUFL,0.62391784,0.61768162,-0.00623622
LSTM,123,LULL,0.62391784,0.72467918,0.10076135
LSTM,123,OT,0.62391784,0.75022889,0.12631106
LSTM,456,HUFL,0.69432507,0.72824982,0.03392475
LSTM,456,HULL,0.69432507,0.7626921,0.06836703
LSTM,456,MUFL,0.69432507,0.86122077,0.1668957
LSTM,456,MULL,0.69432507,0.75415739,0.05983233
LSTM,456,LUFL,0.69432507,0.64053796,-0.0537871
LSTM,456,LULL,0.69432507,0.80037306,0.10604799
LSTM,456,OT,0.69432507,0.78265815,0.08833309
LSTM,789,HUFL,0.57881753,0.65375002,0.07493249
LSTM,789,HULL,0.57881753,0.64725847,0.06844094
LSTM,789,MUFL,0.57881753,0.59548869,0.01667116
LSTM,789,MULL,0.57881753,0.62243835,0.04362082
LSTM,789,LUFL,0.57881753,0.57823208,-0.00058545
LSTM,789,LULL,0.57881753,0.64187602,0.06305849
LSTM,789,OT,0.57881753,0.69098819,0.11217066
LSTM,1024,HUFL,0.5874454,0.60275786,0.01531246
LSTM,1024,HULL,0.5874454,0.67042059,0.08297519
LSTM,1024,MUFL,0.5874454,0.6412275,0.0537821
LSTM,1024,MULL,0.5874454,0.64894619,0.0615008
LSTM,1024,LUFL,0.5874454,0.57884592,-0.00859948
LSTM,1024,LULL,0.5874454,0.7160877,0.1286423
LSTM,1024,OT,0.5874454,0.71493798,0.12749258
TFT,42,HUFL,0.65515545,0.69298922,0.03783377
TFT,42,HULL,0.65515545,0.69319139,0.03803593
TFT,42,MUFL,0.65515545,0.90207681,0.24692136
TFT,42,MULL,0.65515545,0.71411442,0.05895896
TFT,42,LUFL,0.65515545,0.66227967,0.00712422
TFT,42,LULL,0.65515545,0.7020042,0.04684874
TFT,42,OT,0.65515545,0.75127237,0.09611692
TFT,123,HUFL,0.64641629,0.66319644,0.01678015
TFT,123,HULL,0.64641629,0.75111183,0.10469554
TFT,123,MUFL,0.64641629,0.66209615,0.01567986
TFT,123,MULL,0.64641629,0.72652173,0.08010543
TFT,123,LUFL,0.64641629,0.68336282,0.03694653
TFT,123,LULL,0.64641629,0.6550195,0.00860321
TFT,123,OT,0.64641629,0.7155653,0.06914901
TFT,456,HUFL,0.65586712,0.66823623,0.01236911
TFT,456,HULL,0.65586712,0.68808699,0.03221987
TFT,456,MUFL,0.65586712,1.05479453,0.39892742
TFT,456,MULL,0.65586712,0.72679414,0.07092703
TFT,456,LUFL,0.65586712,0.63450354,-0.02136357
TFT,456,LULL,0.65586712,0.72552753,0.06966041
TFT,456,OT,0.65586712,0.65917783,0.00331072
TFT,789,HUFL,0.63100083,0.74266083,0.11166
TFT,789,HULL,0.63100083,0.68581072,0.05480988
TFT,789,MUFL,0.63100083,0.69366669,0.06266586
TFT,789,MULL,0.63100083,0.64054139,0.00954055
TFT,789,LUFL,0.63100083,0.69696385,0.06596302
TFT,789,LULL,0.63100083,0.64149702,0.01049618
TFT,789,OT,0.63100083,0.72396432,0.09296349
TFT,1024,HUFL,1.05726499,1.05976435,0.00249936
TFT,1024,HULL,1.05726499,1.10813999,0.050875
TFT,1024,MUFL,1.05726499,1.05267073,-0.00459426
TFT,1024,MULL,1.05726499,1.09567114,0.03840615
TFT,1024,LUFL,1.05726499,1.06446244,0.00719745
TFT,1024,LULL,1.05726499,1.07710098,0.01983599
TFT,1024,OT,1.05726499,1.1055782,0.04831321
