model,horizon,mse,mae,rmse,seed_count,seed_std_mse
LR,1,2.275201643668651,0.7991085937524086,1.508377155643989,1,0.0
LR,2,3.8351713695614906,1.039628917161464,1.958359356594568,1,0.0
LR,3,5.182610532129841,1.2069311391582833,2.276534764094289,1,0.0
LR,4,6.335352947059949,1.3287733690582328,2.5170127029993212,1,0.0
LR,5,7.118434099635949,1.4027184019377295,2.668039373704209,1,0.0
LR,6,7.630312265382991,1.447109234819152,2.7623019866377736,1,0.0
LR,7,7.956601121917609,1.4730694641878612,2.8207447814216744,1,0.0
LR,8,8.166891873168709,1.4947551736432771,2.8577774359051666,1,0.0
LR,9,8.277525358128852,1.5105867344939246,2.8770688831046174,1,0.0
LR,10,8.344264550140633,1.526034677715521,2.8886440677488516,1,0.0
LR,11,8.387293145852542,1.5373141811608078,2.896082378982432,1,0.0
LR,12,8.42068292947852,1.5439780906839178,2.9018412998436904,1,0.0
LR,13,8.459697423374347,1.550698638588238,2.9085558999913252,1,0.0
LR,14,8.468532201236384,1.5537600862941559,2.9100742604332943,1,0.0
LR,15,8.469570703842235,1.557078720084184,2.910252687283741,1,0.0
LR,16,8.472076055440057,1.5608696237245978,2.9106830908637336,1,0.0
LR,17,8.490619851442364,1.5653580120217239,2.913866821157474,1,0.0
LR,18,8.498802592905415,1.56817692980134,2.9152705865674657,1,0.0
LR,19,8.51142791722589,1.5738668789118406,2.9174351607577997,1,0.0
LR,20,8.510412968786147,1.5786509354532459,2.9172612102426045,1,0.0
LR,21,8.500962544670141,1.5812480692391977,2.9156410177986833,1,0.0
LR,22,8.484739641913167,1.58338951729661,2.912857641889347,1,0.0
LR,23,8.485304120483848,1.5851121408901478,2.9129545345720467,1,0.0
LR,24,8.568875238718924,1.5943077970495285,2.9272641217899906,1,0.0
MLP,1,4.880465407045512,1.373951475948287,2.205778641007387,5,0.6074137993808973
MLP,2,5.895136470921471,1.4632971337474767,2.4236113135071564,5,0.7987698720854243
MLP,3,7.088298785638726,1.5940801061914112,2.660473690360074,5,0.6067434392010677
MLP,4,7.8576192168013295,1.6591334449768567,2.8019510725367693,5,0.5151075223068446
MLP,5,8.437360050288687,1.6921619464004969,2.9042037823844256,5,0.3539406161814506
MLP,6,8.845251293333725,1.7166581680762598,2.973726782321302,5,0.3129910960301443
MLP,7,9.51476015580992,1.793940391703193,3.0843020142831366,5,0.2952771427097469
MLP,8,9.760489865951872,1.81968471116914,3.124088301934351,5,0.16638404370449822
MLP,9,9.88878072835922,1.8332324050847322,3.1444890014222717,5,0.21921861409860002
MLP,10,9.933630083650302,1.847860838710242,3.151415359595084,5,0.33221854501294135
MLP,11,10.1649304787385,1.8746958300442713,3.1874229692297487,5,0.5187974811794809
MLP,12,10.321552303974554,1.8956867306160023,3.2124317146446044,5,0.30692854045485113
MLP,13,10.506563100430935,1.9164548916689768,3.2404652359914055,5,0.5600368610283517
MLP,14,10.399195732952037,1.8987818355989243,3.2247073056226325,5,0.15454663235822788
MLP,15,10.431135033669072,1.906678420309984,3.22967338651589,5,0.13382299555109842
MLP,16,10.499821795425252,1.9181573809077388,3.2401702472461893,5,0.24241809183185184
MLP,17,10.493221289300726,1.9210056911333477,3.238255446893244,5,0.6049341349171116
MLP,18,10.56919771005091,1.9262180676331226,3.2502876605098394,5,0.5096034996460007
MLP,19,10.426761877013075,1.9079408792220178,3.2287823334069627,5,0.2998983808893044
MLP,20,10.616884993415331,1.9347866182455857,3.2576478226572156,5,0.49290441447196276
MLP,21,10.370856798334554,1.89574658015882,3.220037974443599,5,0.3355974845813951
MLP,22,10.263123126093628,1.8772227336482086,3.2026009899548837,5,0.582155440274754
MLP,23,10.277255780507241,1.903240587373626,3.2055776166144305,5,0.27833519951255903
MLP,24,10.243406884939544,1.894317777369346,3.199530984046774,5,0.5743212005826195
LSTM,1,7.816434112663808,1.7122374920419339,2.7946622124949996,5,0.4888200875412872
LSTM,2,10.263373285703924,1.9337696751186062,3.203460724310779,5,0.24881132330308825
LSTM,3,11.995929182577543,2.045438800508542,3.463277213677434,5,0.3144085661415453
LSTM,4,13.321755032315645,2.1530965110665052,3.6497226412482333,5,0.29382527986138324
LSTM,5,13.933151799966401,2.189292229073087,3.7324741537795347,5,0.3544871915198899
LSTM,6,14.159148890664008,2.198110611453543,3.7622867069119805,5,0.5557666931911837
LSTM,7,14.276728922019009,2.225529276122302,3.777958676985569,5,0.5224676510258002
LSTM,8,14.225365215219876,2.2367025638140574,3.771012512212858,5,0.5893766048094682
