model,seed,mse_original,mae_original,rmse_original
LR,deterministic,7.660473462340194,1.4651052219636418,2.767756033746507
MLP,42,9.607342144678267,1.8109528535389074,3.0995712840130434
MLP,123,9.378153634134534,1.82098104619623,3.062377121475168
MLP,456,9.570780621272883,1.8079546493430372,3.093667826589158
MLP,789,9.444789710839697,1.807261654671189,3.073237659348801
MLP,1024,9.33652739305391,1.794261756215146,3.0555731693176504
LSTM,42,12.795809920683217,2.092083360292989,3.5771231346828443
LSTM,123,12.807588258776583,2.1717230853246208,3.5787690982761915
LSTM,456,13.574508295788775,2.205135243351103,3.6843599574130614
LSTM,789,13.020062931671184,2.184277485169755,3.608332430870413
LSTM,1024,12.390661890349376,2.0648904313691028,3.5200372001371485
TFT,42,13.843709437307218,2.3536221065664416,3.720713565609051
TFT,123,14.99028481143851,2.3666296753953175,3.8717289176075473
TFT,456,13.744811898374458,2.2470987629039176,3.707399614065694
TFT,789,12.625385663448442,2.2173070243627633,3.553221870844606
TFT,1024,26.500270602159567,2.938888501157357,5.147841353631595
