seed,variable,importance
42,HUFL,437.1300964355469
42,HULL,172.6426239013672
42,MUFL,780.340087890625
42,MULL,137.20046997070312
42,LUFL,379.9141845703125
42,LULL,620.6547241210938
42,OT,837.1177368164062
123,HUFL,316.6439208984375
123,HULL,638.0158081054688
123,MUFL,788.15576171875
123,MULL,708.9093627929688
123,LUFL,133.7062530517578
123,LULL,239.42654418945312
123,OT,540.142333984375
456,HUFL,157.04269409179688
456,HULL,697.2210693359375
456,MUFL,875.149169921875
456,MULL,694.678466796875
456,LUFL,393.47119140625
456,LULL,412.50640869140625
456,OT,134.93106079101562
789,HUFL,775.6817626953125
789,HULL,460.505126953125
789,MUFL,449.0367431640625
789,MULL,414.02801513671875
789,LUFL,601.8062744140625
789,LULL,135.9241485595703
789,OT,528.0179443359375
1024,HUFL,400.13018798828125
1024,HULL,370.8847961425781
1024,MUFL,46.27879333496094
1024,MULL,630.041259765625
1024,LUFL,409.85577392578125
1024,LULL,647.8482666015625
1024,OT,859.9609375
