model,seed,epoch,train_loss,val_loss,is_best_epoch
MLP,42,1,0.728328,0.760202,False
MLP,42,2,0.388427,0.519887,False
MLP,42,3,0.31235,0.43484,False
MLP,42,4,0.283079,0.405101,False
MLP,42,5,0.265387,0.386258,False
MLP,42,6,0.253016,0.377374,False
MLP,42,7,0.244191,0.366765,False
MLP,42,8,0.23733,0.366144,False
MLP,42,9,0.231693,0.358695,False
MLP,42,10,0.227287,0.371676,False
MLP,42,11,0.222756,0.370257,False
MLP,42,12,0.219218,0.361453,False
MLP,42,13,0.21598,0.357925,True
MLP,42,14,0.21276,0.358888,False
MLP,42,15,0.209566,0.372067,False
MLP,42,16,0.206796,0.358185,False
MLP,42,17,0.204087,0.370044,False
MLP,42,18,0.201773,0.362323,False
MLP,42,19,0.199094,0.375004,False
MLP,42,20,0.196761,0.365956,False
MLP,42,21,0.194771,0.372774,False
MLP,42,22,0.192382,0.370285,False
MLP,42,23,0.190435,0.378533,False
MLP,123,1,0.734031,0.765598,False
MLP,123,2,0.394615,0.548707,False
MLP,123,3,0.314933,0.455625,False
MLP,123,4,0.284709,0.412925,False
MLP,123,5,0.266227,0.388755,False
MLP,123,6,0.25378,0.387876,False
MLP,123,7,0.244716,0.380261,False
MLP,123,8,0.237779,0.370445,False
MLP,123,9,0.23217,0.373301,False
MLP,123,10,0.227552,0.367166,False
MLP,123,11,0.223031,0.36682,False
MLP,123,12,0.219313,0.358804,False
MLP,123,13,0.215958,0.369772,False
MLP,123,14,0.212852,0.364082,False
MLP,123,15,0.20957,0.360847,False
MLP,123,16,0.206842,0.365893,False
MLP,123,17,0.204305,0.364434,False
MLP,123,18,0.201724,0.360511,False
MLP,123,19,0.199418,0.358683,False
MLP,123,20,0.197356,0.364997,False
MLP,123,21,0.19521,0.364797,False
MLP,123,22,0.193131,0.366805,False
MLP,123,23,0.191174,0.364621,False
MLP,123,24,0.189335,0.358665,True
MLP,123,25,0.187653,0.369969,False
MLP,123,26,0.18579,0.374606,False
MLP,123,27,0.184314,0.366674,False
MLP,123,28,0.182635,0.367736,False
MLP,123,29,0.181263,0.377572,False
MLP,123,30,0.180004,0.375523,False
MLP,123,31,0.178623,0.365793,False
MLP,123,32,0.177457,0.381104,False
MLP,123,33,0.175912,0.380934,False
MLP,123,34,0.174743,0.37882,False
MLP,456,1,0.725134,0.7546,False
MLP,456,2,0.39015,0.537919,False
MLP,456,3,0.310841,0.438901,False
MLP,456,4,0.282909,0.407559,False
MLP,456,5,0.265642,0.386318,False
MLP,456,6,0.254302,0.382355,False
MLP,456,7,0.245744,0.371533,False
MLP,456,8,0.238301,0.366537,False
MLP,456,9,0.232659,0.363391,False
MLP,456,10,0.227778,0.364949,False
MLP,456,11,0.223513,0.352313,True
MLP,456,12,0.219903,0.359068,False
MLP,456,13,0.216034,0.359464,False
MLP,456,14,0.213147,0.360252,False
MLP,456,15,0.210028,0.361844,False
MLP,456,16,0.207215,0.358142,False
MLP,456,17,0.204558,0.356374,False
MLP,456,18,0.201997,0.355265,False
MLP,456,19,0.199549,0.356374,False
MLP,456,20,0.197069,0.358642,False
MLP,456,21,0.195138,0.355603,False
MLP,789,1,0.72057,0.70902,False
MLP,789,2,0.380812,0.502603,False
MLP,789,3,0.309286,0.438244,False
MLP,789,4,0.281688,0.399011,False
MLP,789,5,0.264373,0.388857,False
MLP,789,6,0.252659,0.382887,False
MLP,789,7,0.244213,0.380613,False
MLP,789,8,0.237162,0.363565,False
MLP,789,9,0.23173,0.361971,False
MLP,789,10,0.226465,0.359293,False
MLP,789,11,0.222176,0.360626,False
MLP,789,12,0.218255,0.351495,False
MLP,789,13,0.214632,0.350192,False
MLP,789,14,0.211508,0.348422,False
MLP,789,15,0.208532,0.350081,False
MLP,789,16,0.20575,0.345114,False
MLP,789,17,0.202946,0.349025,False
MLP,789,18,0.200219,0.358983,False
MLP,789,19,0.19787,0.352829,False
MLP,789,20,0.195557,0.346258,False
MLP,789,21,0.193611,0.347845,False
MLP,789,22,0.191542,0.348154,False
MLP,789,23,0.189464,0.344687,True
MLP,789,24,0.187504,0.351147,False
MLP,789,25,0.185965,0.351948,False
MLP,789,26,0.184243,0.350395,False
MLP,789,27,0.182566,0.348134,False
MLP,789,28,0.180991,0.359621,False
MLP,789,29,0.17962,0.348214,False
MLP,789,30,0.177863,0.346607,False
MLP,789,31,0.176582,0.35281,False
MLP,789,32,0.175236,0.349168,False
MLP,789,33,0.174255,0.354715,False
MLP,1024,1,0.731879,0.744082,False
MLP,1024,2,0.39551,0.51294,False
MLP,1024,3,0.310921,0.435385,False
MLP,1024,4,0.281969,0.39841,False
MLP,1024,5,0.264327,0.390178,False
MLP,1024,6,0.252185,0.382501,False
MLP,1024,7,0.243553,0.37571,False
MLP,1024,8,0.23645,0.371233,False
MLP,1024,9,0.231037,0.375683,False
MLP,1024,10,0.226264,0.370206,False
MLP,1024,11,0.221968,0.369677,False
MLP,1024,12,0.218314,0.373405,False
MLP,1024,13,0.214952,0.371856,False
MLP,1024,14,0.211716,0.376312,False
MLP,1024,15,0.209046,0.373782,False
MLP,1024,16,0.206223,0.373208,False
MLP,1024,17,0.203725,0.373857,False
MLP,1024,18,0.201172,0.380535,False
MLP,1024,19,0.199106,0.37958,False
MLP,1024,20,0.19674,0.367456,True
MLP,1024,21,0.194554,0.379904,False
MLP,1024,22,0.192558,0.368788,False
MLP,1024,23,0.190877,0.378137,False
MLP,1024,24,0.189029,0.378069,False
MLP,1024,25,0.187408,0.3887,False
MLP,1024,26,0.185613,0.391588,False
MLP,1024,27,0.184088,0.383607,False
MLP,1024,28,0.182551,0.390151,False
MLP,1024,29,0.181172,0.39351,False
MLP,1024,30,0.179642,0.38603,False
LSTM,42,1,0.957084,0.977053,False
LSTM,42,2,0.742659,0.940008,False
LSTM,42,3,0.62002,0.890345,False
LSTM,42,4,0.544083,0.845457,False
LSTM,42,5,0.497345,0.795602,False
LSTM,42,6,0.46833,0.75302,False
LSTM,42,7,0.446177,0.717338,False
LSTM,42,8,0.426293,0.683591,False
LSTM,42,9,0.406368,0.64901,False
LSTM,42,10,0.387715,0.625233,False
LSTM,42,11,0.368585,0.597609,False
LSTM,42,12,0.350847,0.559123,False
LSTM,42,13,0.335043,0.528678,False
LSTM,42,14,0.32234,0.50263,False
LSTM,42,15,0.312724,0.480527,False
LSTM,42,16,0.305649,0.463897,False
LSTM,42,17,0.300216,0.453124,False
LSTM,42,18,0.295549,0.445414,False
LSTM,42,19,0.291905,0.441042,False
LSTM,42,20,0.288376,0.437548,False
LSTM,42,21,0.285407,0.434588,False
LSTM,42,22,0.282476,0.434606,False
LSTM,42,23,0.280007,0.431733,False
LSTM,42,24,0.277171,0.429613,False
LSTM,42,25,0.274535,0.427764,True
LSTM,42,26,0.271948,0.428886,False
LSTM,42,27,0.269669,0.430794,False
LSTM,42,28,0.267591,0.431756,False
LSTM,42,29,0.26497,0.433549,False
LSTM,42,30,0.262543,0.435798,False
LSTM,42,31,0.260236,0.436702,False
LSTM,42,32,0.257941,0.438695,False
LSTM,42,33,0.255533,0.444363,False
LSTM,42,34,0.253121,0.44488,False
LSTM,42,35,0.251074,0.446995,False
LSTM,123,1,0.967813,0.961665,False
LSTM,123,2,0.772197,0.916288,False
LSTM,123,3,0.617344,0.865667,False
LSTM,123,4,0.532492,0.821095,False
LSTM,123,5,0.488239,0.78057,False
LSTM,123,6,0.461873,0.747103,False
LSTM,123,7,0.441927,0.715256,False
LSTM,123,8,0.420709,0.672141,False
LSTM,123,9,0.395042,0.626971,False
LSTM,123,10,0.370141,0.590286,False
LSTM,123,11,0.346824,0.561013,False
LSTM,123,12,0.328816,0.524618,False
LSTM,123,13,0.317228,0.504894,False
LSTM,123,14,0.308765,0.484496,False
LSTM,123,15,0.302072,0.475786,False
LSTM,123,16,0.296757,0.463683,False
LSTM,123,17,0.292343,0.463521,False
LSTM,123,18,0.288367,0.452443,False
LSTM,123,19,0.284563,0.44913,False
LSTM,123,20,0.28146,0.44071,False
LSTM,123,21,0.278313,0.440437,False
LSTM,123,22,0.274644,0.437947,False
LSTM,123,23,0.27131,0.436946,False
LSTM,123,24,0.268155,0.43272,False
LSTM,123,25,0.265086,0.434434,False
LSTM,123,26,0.262141,0.438197,False
LSTM,123,27,0.2592,0.43429,False
LSTM,123,28,0.256335,0.431329,True
LSTM,123,29,0.253516,0.43554,False
LSTM,123,30,0.251175,0.438079,False
LSTM,123,31,0.248446,0.437807,False
LSTM,123,32,0.245913,0.439519,False
LSTM,123,33,0.243725,0.439937,False
LSTM,123,34,0.241638,0.442561,False
LSTM,123,35,0.239342,0.446195,False
LSTM,123,36,0.237307,0.460416,False
LSTM,123,37,0.235302,0.451494,False
LSTM,123,38,0.233406,0.458582,False
LSTM,456,1,0.95756,0.96866,False
LSTM,456,2,0.745219,0.929915,False
LSTM,456,3,0.622758,0.882439,False
LSTM,456,4,0.553404,0.844021,False
LSTM,456,5,0.509967,0.808998,False
LSTM,456,6,0.477192,0.773424,False
LSTM,456,7,0.450386,0.731973,False
LSTM,456,8,0.42303,0.685327,False
LSTM,456,9,0.396643,0.641466,False
LSTM,456,10,0.37359,0.599674,False
LSTM,456,11,0.35289,0.564437,False
LSTM,456,12,0.336291,0.537659,False
LSTM,456,13,0.323659,0.512026,False
LSTM,456,14,0.314866,0.493334,False
LSTM,456,15,0.308126,0.481967,False
LSTM,456,16,0.302602,0.470461,False
LSTM,456,17,0.297979,0.464051,False
LSTM,456,18,0.294058,0.455692,False
LSTM,456,19,0.290005,0.455071,False
LSTM,456,20,0.286767,0.453324,False
LSTM,456,21,0.283861,0.447011,False
LSTM,456,22,0.281044,0.449713,False
LSTM,456,23,0.278269,0.447613,False
LSTM,456,24,0.275393,0.453351,False
LSTM,456,25,0.273006,0.450198,False
LSTM,456,26,0.270266,0.443604,False
LSTM,456,27,0.26796,0.446265,False
LSTM,456,28,0.265394,0.441575,False
LSTM,456,29,0.263135,0.442865,False
LSTM,456,30,0.260652,0.449267,False
LSTM,456,31,0.258414,0.441334,False
LSTM,456,32,0.256126,0.441201,False
LSTM,456,33,0.254297,0.442672,False
LSTM,456,34,0.251745,0.439637,False
LSTM,456,35,0.249515,0.442844,False
LSTM,456,36,0.247794,0.438984,True
LSTM,456,37,0.245491,0.44245,False
LSTM,456,38,0.243373,0.441994,False
LSTM,456,39,0.241374,0.443874,False
LSTM,456,40,0.239655,0.442611,False
LSTM,456,41,0.237231,0.445847,False
LSTM,456,42,0.235455,0.444804,False
LSTM,456,43,0.23331,0.44434,False
LSTM,456,44,0.23134,0.448627,False
LSTM,456,45,0.229395,0.456178,False
LSTM,456,46,0.22782,0.453895,False
LSTM,789,1,0.953876,0.963542,False
LSTM,789,2,0.730755,0.909818,False
LSTM,789,3,0.598949,0.867793,False
LSTM,789,4,0.53312,0.818593,False
LSTM,789,5,0.488554,0.762092,False
LSTM,789,6,0.45624,0.713029,False
LSTM,789,7,0.429656,0.668853,False
LSTM,789,8,0.40344,0.623637,False
LSTM,789,9,0.379178,0.584757,False
LSTM,789,10,0.357154,0.548953,False
LSTM,789,11,0.337698,0.527232,False
LSTM,789,12,0.323913,0.509428,False
LSTM,789,13,0.314271,0.49001,False
LSTM,789,14,0.307344,0.480126,False
LSTM,789,15,0.301441,0.471991,False
LSTM,789,16,0.296524,0.464139,False
LSTM,789,17,0.292086,0.461504,False
LSTM,789,18,0.288246,0.455858,False
LSTM,789,19,0.284692,0.449943,False
LSTM,789,20,0.281213,0.446812,False
LSTM,789,21,0.277878,0.440744,False
LSTM,789,22,0.274888,0.4365,False
LSTM,789,23,0.271878,0.436929,False
LSTM,789,24,0.268364,0.430714,True
LSTM,789,25,0.265824,0.434756,False
LSTM,789,26,0.262859,0.431642,False
LSTM,789,27,0.26023,0.432828,False
LSTM,789,28,0.257312,0.432774,False
LSTM,789,29,0.255031,0.432419,False
LSTM,789,30,0.252276,0.433899,False
LSTM,789,31,0.250012,0.433404,False
LSTM,789,32,0.247825,0.436143,False
LSTM,789,33,0.245653,0.43691,False
LSTM,789,34,0.243615,0.440664,False
LSTM,1024,1,0.963159,0.965233,False
LSTM,1024,2,0.755714,0.92594,False
LSTM,1024,3,0.626067,0.87291,False
LSTM,1024,4,0.546118,0.8227,False
LSTM,1024,5,0.493997,0.77399,False
LSTM,1024,6,0.459864,0.730629,False
LSTM,1024,7,0.430772,0.684661,False
LSTM,1024,8,0.402911,0.642047,False
LSTM,1024,9,0.378041,0.604579,False
LSTM,1024,10,0.355966,0.571389,False
LSTM,1024,11,0.337318,0.538164,False
LSTM,1024,12,0.323176,0.516195,False
LSTM,1024,13,0.312534,0.493346,False
LSTM,1024,14,0.304789,0.477571,False
LSTM,1024,15,0.298486,0.463984,False
LSTM,1024,16,0.29314,0.453262,False
LSTM,1024,17,0.288643,0.447529,False
LSTM,1024,18,0.284404,0.442848,False
