model_pair,metric,mean_diff,ci_low,ci_high,bootstrap_n,bootstrap_seed,n_test_windows
LR_vs_MLP,MSE,-1.305708,-1.395497,-1.217299,10000,2026,3365
LR_vs_MLP,MAE,-0.268324,-0.277614,-0.25887,10000,2026,3365
LR_vs_MLP,RMSE,-0.226588,-0.241979,-0.211364,10000,2026,3365
LR_vs_LSTM,MSE,-4.402469,-4.572591,-4.231742,10000,2026,3365
LR_vs_LSTM,MAE,-0.63387,-0.648469,-0.619642,10000,2026,3365
LR_vs_LSTM,RMSE,-0.705385,-0.732925,-0.678171,10000,2026,3365
LR_vs_TFT,MSE,-5.141411,-5.314982,-4.963153,10000,2026,3365
LR_vs_TFT,MAE,-0.765015,-0.779915,-0.74971,10000,2026,3365
LR_vs_TFT,RMSE,-0.810168,-0.83642,-0.783357,10000,2026,3365
MLP_vs_LSTM,MSE,-3.096761,-3.2866,-2.908016,10000,2026,3365
MLP_vs_LSTM,MAE,-0.365546,-0.380396,-0.350956,10000,2026,3365
MLP_vs_LSTM,RMSE,-0.478797,-0.50831,-0.449769,10000,2026,3365
MLP_vs_TFT,MSE,-3.835703,-4.012775,-3.659435,10000,2026,3365
MLP_vs_TFT,MAE,-0.496691,-0.509346,-0.483868,10000,2026,3365
MLP_vs_TFT,RMSE,-0.583579,-0.609743,-0.557521,10000,2026,3365
LSTM_vs_TFT,MSE,-0.738942,-0.88009,-0.600761,10000,2026,3365
LSTM_vs_TFT,MAE,-0.131144,-0.143333,-0.119249,10000,2026,3365
LSTM_vs_TFT,RMSE,-0.104783,-0.124339,-0.085259,10000,2026,3365
