model,horizon,mse,mae,rmse,seed_count,seed_std_mse
LR,1,2.275201643668651,0.7991085937524086,1.508377155643989,1,0.0
LR,2,3.8351713695614906,1.039628917161464,1.958359356594568,1,0.0
LR,3,5.182610532129841,1.2069311391582833,2.276534764094289,1,0.0
LR,4,6.335352947059949,1.3287733690582328,2.5170127029993212,1,0.0
LR,5,7.118434099635949,1.4027184019377295,2.668039373704209,1,0.0
LR,6,7.630312265382991,1.447109234819152,2.7623019866377736,1,0.0
LR,7,7.956601121917609,1.4730694641878612,2.8207447814216744,1,0.0
LR,8,8.166891873168709,1.4947551736432771,2.8577774359051666,1,0.0
LR,9,8.277525358128852,1.5105867344939246,2.8770688831046174,1,0.0
LR,10,8.344264550140633,1.526034677715521,2.8886440677488516,1,0.0
LR,11,8.387293145852542,1.5373141811608078,2.896082378982432,1,0.0
LR,12,8.42068292947852,1.5439780906839178,2.9018412998436904,1,0.0
LR,13,8.459697423374347,1.550698638588238,2.9085558999913252,1,0.0
LR,14,8.468532201236384,1.5537600862941559,2.9100742604332943,1,0.0
LR,15,8.469570703842235,1.557078720084184,2.910252687283741,1,0.0
LR,16,8.472076055440057,1.5608696237245978,2.9106830908637336,1,0.0
LR,17,8.490619851442364,1.5653580120217239,2.913866821157474,1,0.0
LR,18,8.498802592905415,1.56817692980134,2.9152705865674657,1,0.0
LR,19,8.51142791722589,1.5738668789118406,2.9174351607577997,1,0.0
LR,20,8.510412968786147,1.5786509354532459,2.9172612102426045,1,0.0
LR,21,8.500962544670141,1.5812480692391977,2.9156410177986833,1,0.0
LR,22,8.484739641913167,1.58338951729661,2.912857641889347,1,0.0
LR,23,8.485304120483848,1.5851121408901478,2.9129545345720467,1,0.0
LR,24,8.568875238718924,1.5943077970495285,2.9272641217899906,1,0.0
MLP,1,4.805666148580683,1.3757029270715329,2.1884186675882167,3,0.7024265213365547
MLP,2,5.743974884777355,1.4596883373320442,2.3959161701198113,3,0.3524792359541472
MLP,3,7.099520153358757,1.6029800401761989,2.663361381331734,3,0.5072763721183078
MLP,4,7.851423395029315,1.6550616824851734,2.80116823234177,3,0.48205282856422293
MLP,5,8.450421480511134,1.6920743585753344,2.9069229781052086,3,0.10552611209634474
MLP,6,8.901384670358938,1.7255220908674005,2.983492114097641,3,0.09225469734943861
MLP,7,9.339733785339831,1.7682692483618159,3.0559614878053663,3,0.21678716177428287
MLP,8,9.765920172167101,1.8115024331159775,3.1250125748660325,3,0.11276958373963145
MLP,9,9.774990520008712,1.8074638588877818,3.1263570974789325,3,0.2281677055383429
MLP,10,9.823490858514287,1.8190278700691762,3.13382328481168,3,0.39396558078220495
MLP,11,10.108871507202545,1.8535750991565658,3.179024855419357,3,0.4018973992261592
MLP,12,9.955921764166531,1.8523655938110994,3.155096365415666,3,0.2763197815118946
MLP,13,10.415576141352139,1.906456925646961,3.227303403793051,3,0.07456968429695207
MLP,14,10.080529532100973,1.8693288337475753,3.174709710853898,3,0.32645630210607157
MLP,15,10.190581761157452,1.876408924249663,3.19224924568045,3,0.0880383667180507
MLP,16,9.929335103096639,1.8522441301791333,3.1510138166148436,3,0.16347226942788426
MLP,17,10.269824036464332,1.9006911250243388,3.204470223219578,3,0.27228519152769665
MLP,18,10.269120961352451,1.892875911623703,3.2043978519658665,3,0.241861298618682
MLP,19,10.391285676441184,1.8986443625781393,3.2234003047000983,3,0.2461714183673082
MLP,20,10.876854731067377,1.9590646995428618,3.2978756456375415,3,0.2376801837388914
MLP,21,10.360786113306517,1.9028933761345936,3.218375615146275,3,0.4180547541365121
MLP,22,10.110236306746664,1.853013410273433,3.1786211692306803,3,0.632689082671629
MLP,23,9.946638698330414,1.8613206277664949,3.1535277809415736,3,0.3355475959887345
MLP,24,10.115976929942445,1.8759666954678789,3.1803481376802814,3,0.2869633430954775
LSTM,1,7.158486165751494,1.6577002885233314,2.6722242961870424,3,0.8717671917859999
LSTM,2,9.561213271512761,1.8933628512047485,3.0892705823453617,3,1.0176174973134093
LSTM,3,11.346424916498123,2.024460644748309,3.3678299659339466,3,0.5329658448840723
LSTM,4,12.745307898723176,2.137063674804564,3.56967678966644,3,0.455104549186336
LSTM,5,13.327277610013377,2.1861895216568192,3.6506040315138626,3,0.17152464610046328
LSTM,6,13.441968648951018,2.183398719631651,3.6657449052515534,3,0.5842239726945728
LSTM,7,14.017997497677621,2.2492848827722995,3.7433402040814374,3,0.6745519002720648
