model,seed,mse_original,mae_original,rmse_original
LR,deterministic,7.660473462340194,1.4651052219636418,2.767756033746507
MLP,42,9.387690957968218,1.8157165140687697,3.063933902349758
MLP,123,9.297265929753628,1.7751417051676879,3.0491418349682635
MLP,456,9.387301278699876,1.7931596010316515,3.063870310359085
LSTM,42,12.909149172349016,2.184975915399354,3.5929304435723517
LSTM,123,12.890569287134708,2.177427842204695,3.5903438953858875
LSTM,456,12.325865881206663,2.1311518151764868,3.5108212545224604
TFT,42,13.842928344861823,2.3533918821883604,3.7206085987190085
TFT,123,14.97385924599501,2.3652948194312504,3.8696071177827616
TFT,456,13.742417364398765,2.246436350590299,3.707076660172914
