model,method,aggregation,seed,variable,shap_importance,n_eval,n_bg,eval_seed,bg_seed,shap_baseline,explainer,mse_scaled_check
LSTM,SHAP (GradientExplainer),per-seed,42,HUFL,0.004237108055910651,100,100,42,42,train_mean_scaled,GradientExplainer,0.6177048467504108
LSTM,SHAP (GradientExplainer),per-seed,42,HULL,0.0024823210865133473,100,100,42,42,train_mean_scaled,GradientExplainer,0.6177048467504108
LSTM,SHAP (GradientExplainer),per-seed,42,MUFL,0.004429466662171935,100,100,42,42,train_mean_scaled,GradientExplainer,0.6177048467504108
LSTM,SHAP (GradientExplainer),per-seed,42,MULL,0.002216484919530314,100,100,42,42,train_mean_scaled,GradientExplainer,0.6177048467504108
LSTM,SHAP (GradientExplainer),per-seed,42,LUFL,0.002133744236956284,100,100,42,42,train_mean_scaled,GradientExplainer,0.6177048467504108
LSTM,SHAP (GradientExplainer),per-seed,42,LULL,0.003158212367495951,100,100,42,42,train_mean_scaled,GradientExplainer,0.6177048467504108
LSTM,SHAP (GradientExplainer),per-seed,42,OT,0.003927104830370535,100,100,42,42,train_mean_scaled,GradientExplainer,0.6177048467504108
LSTM,SHAP (GradientExplainer),per-seed,123,HUFL,0.004279924809019793,100,100,42,42,train_mean_scaled,GradientExplainer,0.6789118072016296
LSTM,SHAP (GradientExplainer),per-seed,123,HULL,0.0030281161101966135,100,100,42,42,train_mean_scaled,GradientExplainer,0.6789118072016296
LSTM,SHAP (GradientExplainer),per-seed,123,MUFL,0.006654670042450404,100,100,42,42,train_mean_scaled,GradientExplainer,0.6789118072016296
LSTM,SHAP (GradientExplainer),per-seed,123,MULL,0.00370027114874348,100,100,42,42,train_mean_scaled,GradientExplainer,0.6789118072016296
LSTM,SHAP (GradientExplainer),per-seed,123,LUFL,0.002928229522653759,100,100,42,42,train_mean_scaled,GradientExplainer,0.6789118072016296
LSTM,SHAP (GradientExplainer),per-seed,123,LULL,0.004482912814619327,100,100,42,42,train_mean_scaled,GradientExplainer,0.6789118072016296
LSTM,SHAP (GradientExplainer),per-seed,123,OT,0.005349062245707917,100,100,42,42,train_mean_scaled,GradientExplainer,0.6789118072016296
LSTM,SHAP (GradientExplainer),per-seed,456,HUFL,0.0076353999254844,100,100,42,42,train_mean_scaled,GradientExplainer,0.6067736592535329
LSTM,SHAP (GradientExplainer),per-seed,456,HULL,0.004297657257851519,100,100,42,42,train_mean_scaled,GradientExplainer,0.6067736592535329
LSTM,SHAP (GradientExplainer),per-seed,456,MUFL,0.0049676158950117694,100,100,42,42,train_mean_scaled,GradientExplainer,0.6067736592535329
LSTM,SHAP (GradientExplainer),per-seed,456,MULL,0.004750788469217241,100,100,42,42,train_mean_scaled,GradientExplainer,0.6067736592535329
LSTM,SHAP (GradientExplainer),per-seed,456,LUFL,0.0037821277179109426,100,100,42,42,train_mean_scaled,GradientExplainer,0.6067736592535329
LSTM,SHAP (GradientExplainer),per-seed,456,LULL,0.004580221687964438,100,100,42,42,train_mean_scaled,GradientExplainer,0.6067736592535329
LSTM,SHAP (GradientExplainer),per-seed,456,OT,0.006129679862532425,100,100,42,42,train_mean_scaled,GradientExplainer,0.6067736592535329
LSTM,SHAP (GradientExplainer),mean-across-seeds,mean,HUFL,0.005384144263471616,100,100,42,42,train_mean_scaled,GradientExplainer,
LSTM,SHAP (GradientExplainer),mean-across-seeds,mean,HULL,0.0032693648181871594,100,100,42,42,train_mean_scaled,GradientExplainer,
LSTM,SHAP (GradientExplainer),mean-across-seeds,mean,MUFL,0.005350584199878036,100,100,42,42,train_mean_scaled,GradientExplainer,
LSTM,SHAP (GradientExplainer),mean-across-seeds,mean,MULL,0.0035558481791636786,100,100,42,42,train_mean_scaled,GradientExplainer,
LSTM,SHAP (GradientExplainer),mean-across-seeds,mean,LUFL,0.002948033825840328,100,100,42,42,train_mean_scaled,GradientExplainer,
LSTM,SHAP (GradientExplainer),mean-across-seeds,mean,LULL,0.004073782290026572,100,100,42,42,train_mean_scaled,GradientExplainer,
LSTM,SHAP (GradientExplainer),mean-across-seeds,mean,OT,0.005135282312870292,100,100,42,42,train_mean_scaled,GradientExplainer,
