model,method,aggregation,seed,variable,shap_importance,n_eval,n_bg,eval_seed,bg_seed,shap_baseline,explainer,mse_scaled_check
MLP,SHAP (DeepExplainer),per-seed,42,HUFL,0.006596465252760959,100,100,42,42,train_mean_scaled,DeepExplainer,0.4750551411540693
MLP,SHAP (DeepExplainer),per-seed,42,HULL,0.004883778784339092,100,100,42,42,train_mean_scaled,DeepExplainer,0.4750551411540693
MLP,SHAP (DeepExplainer),per-seed,42,MUFL,0.0063945853265629,100,100,42,42,train_mean_scaled,DeepExplainer,0.4750551411540693
MLP,SHAP (DeepExplainer),per-seed,42,MULL,0.004095246717956168,100,100,42,42,train_mean_scaled,DeepExplainer,0.4750551411540693
MLP,SHAP (DeepExplainer),per-seed,42,LUFL,0.0042731638516001185,100,100,42,42,train_mean_scaled,DeepExplainer,0.4750551411540693
MLP,SHAP (DeepExplainer),per-seed,42,LULL,0.0046056233573085826,100,100,42,42,train_mean_scaled,DeepExplainer,0.4750551411540693
MLP,SHAP (DeepExplainer),per-seed,42,OT,0.007858424836395183,100,100,42,42,train_mean_scaled,DeepExplainer,0.4750551411540693
MLP,SHAP (DeepExplainer),per-seed,123,HUFL,0.007910493591803635,100,100,42,42,train_mean_scaled,DeepExplainer,0.4449224953593897
MLP,SHAP (DeepExplainer),per-seed,123,HULL,0.005669204414074933,100,100,42,42,train_mean_scaled,DeepExplainer,0.4449224953593897
MLP,SHAP (DeepExplainer),per-seed,123,MUFL,0.007430389585524377,100,100,42,42,train_mean_scaled,DeepExplainer,0.4449224953593897
MLP,SHAP (DeepExplainer),per-seed,123,MULL,0.004711240132993642,100,100,42,42,train_mean_scaled,DeepExplainer,0.4449224953593897
MLP,SHAP (DeepExplainer),per-seed,123,LUFL,0.005157596663664922,100,100,42,42,train_mean_scaled,DeepExplainer,0.4449224953593897
MLP,SHAP (DeepExplainer),per-seed,123,LULL,0.005623990990207427,100,100,42,42,train_mean_scaled,DeepExplainer,0.4449224953593897
MLP,SHAP (DeepExplainer),per-seed,123,OT,0.009236276092548637,100,100,42,42,train_mean_scaled,DeepExplainer,0.4449224953593897
MLP,SHAP (DeepExplainer),per-seed,456,HUFL,0.007381569806226595,100,100,42,42,train_mean_scaled,DeepExplainer,0.4790171253474236
MLP,SHAP (DeepExplainer),per-seed,456,HULL,0.005473574053859036,100,100,42,42,train_mean_scaled,DeepExplainer,0.4790171253474236
MLP,SHAP (DeepExplainer),per-seed,456,MUFL,0.006990339094374772,100,100,42,42,train_mean_scaled,DeepExplainer,0.4790171253474236
MLP,SHAP (DeepExplainer),per-seed,456,MULL,0.0045392923299981585,100,100,42,42,train_mean_scaled,DeepExplainer,0.4790171253474236
MLP,SHAP (DeepExplainer),per-seed,456,LUFL,0.005033102098192204,100,100,42,42,train_mean_scaled,DeepExplainer,0.4790171253474236
MLP,SHAP (DeepExplainer),per-seed,456,LULL,0.0053345693488342245,100,100,42,42,train_mean_scaled,DeepExplainer,0.4790171253474236
MLP,SHAP (DeepExplainer),per-seed,456,OT,0.00884845306857721,100,100,42,42,train_mean_scaled,DeepExplainer,0.4790171253474236
MLP,SHAP (DeepExplainer),mean-across-seeds,mean,HUFL,0.007296176216930396,100,100,42,42,train_mean_scaled,DeepExplainer,
MLP,SHAP (DeepExplainer),mean-across-seeds,mean,HULL,0.005342185750757687,100,100,42,42,train_mean_scaled,DeepExplainer,
MLP,SHAP (DeepExplainer),mean-across-seeds,mean,MUFL,0.006938438002154016,100,100,42,42,train_mean_scaled,DeepExplainer,
MLP,SHAP (DeepExplainer),mean-across-seeds,mean,MULL,0.004448593060315989,100,100,42,42,train_mean_scaled,DeepExplainer,
MLP,SHAP (DeepExplainer),mean-across-seeds,mean,LUFL,0.004821287537819081,100,100,42,42,train_mean_scaled,DeepExplainer,
MLP,SHAP (DeepExplainer),mean-across-seeds,mean,LULL,0.005188061232116745,100,100,42,42,train_mean_scaled,DeepExplainer,
MLP,SHAP (DeepExplainer),mean-across-seeds,mean,OT,0.008647717999173679,100,100,42,42,train_mean_scaled,DeepExplainer,
