seed,variable,importance
42,HUFL,436.9083557128906
42,HULL,172.529052734375
42,MUFL,779.9239501953125
42,MULL,137.15280151367188
42,LUFL,379.5972595214844
42,LULL,620.6348266601562
42,OT,838.2537841796875
123,HUFL,316.51507568359375
123,HULL,638.0439453125
123,MUFL,788.0628662109375
123,MULL,709.2282104492188
123,LUFL,133.64846801757812
123,LULL,239.6505126953125
123,OT,539.8509521484375
456,HUFL,157.1827392578125
456,HULL,697.0690307617188
456,MUFL,874.82568359375
456,MULL,695.2479248046875
456,LUFL,393.60467529296875
456,LULL,412.21343994140625
456,OT,134.85647583007812
