model,seed,epoch,train_loss,val_loss,is_best_epoch
MLP,42,1,0.737336,0.758756,False
MLP,42,2,0.394248,0.55288,False
MLP,42,3,0.314533,0.455119,False
MLP,42,4,0.283835,0.421528,False
MLP,42,5,0.265876,0.397473,False
MLP,42,6,0.253292,0.387319,False
MLP,42,7,0.244305,0.378643,False
MLP,42,8,0.237169,0.373969,False
MLP,42,9,0.231343,0.369353,False
MLP,42,10,0.226878,0.378664,False
MLP,42,11,0.222324,0.375373,False
MLP,42,12,0.218722,0.367472,False
MLP,42,13,0.215456,0.363155,True
MLP,42,14,0.212202,0.365078,False
MLP,42,15,0.209206,0.378053,False
MLP,42,16,0.206383,0.364002,False
MLP,42,17,0.203833,0.371976,False
MLP,42,18,0.201521,0.368137,False
MLP,42,19,0.19902,0.371502,False
MLP,42,20,0.196774,0.364755,False
MLP,42,21,0.194914,0.372513,False
MLP,42,22,0.192716,0.368564,False
MLP,42,23,0.190859,0.385259,False
MLP,123,1,0.72509,0.757666,False
MLP,123,2,0.390638,0.526551,False
MLP,123,3,0.31096,0.439638,False
MLP,123,4,0.282956,0.403634,False
MLP,123,5,0.266085,0.383765,False
MLP,123,6,0.254546,0.377617,False
MLP,123,7,0.245784,0.372915,False
MLP,123,8,0.238909,0.363685,False
MLP,123,9,0.233122,0.364167,False
MLP,123,10,0.22833,0.358592,False
MLP,123,11,0.223809,0.354932,False
MLP,123,12,0.219882,0.348761,False
MLP,123,13,0.216559,0.360556,False
MLP,123,14,0.213304,0.352682,False
MLP,123,15,0.209827,0.346494,False
MLP,123,16,0.206884,0.353324,False
MLP,123,17,0.204284,0.350057,False
MLP,123,18,0.201518,0.343945,False
MLP,123,19,0.199082,0.340853,False
MLP,123,20,0.196873,0.346045,False
MLP,123,21,0.194598,0.344581,False
MLP,123,22,0.192427,0.34769,False
MLP,123,23,0.190269,0.343785,False
MLP,123,24,0.188416,0.339908,True
MLP,123,25,0.186645,0.348679,False
MLP,123,26,0.184594,0.351338,False
MLP,123,27,0.183093,0.350559,False
MLP,123,28,0.181366,0.34617,False
MLP,123,29,0.179951,0.352811,False
MLP,123,30,0.178544,0.345639,False
MLP,123,31,0.177274,0.342254,False
MLP,123,32,0.175942,0.360045,False
MLP,123,33,0.174363,0.353176,False
MLP,123,34,0.173202,0.352337,False
MLP,456,1,0.722307,0.715298,False
MLP,456,2,0.380971,0.513126,False
MLP,456,3,0.308743,0.427345,False
MLP,456,4,0.28108,0.398644,False
MLP,456,5,0.263752,0.380107,False
MLP,456,6,0.252523,0.377543,False
MLP,456,7,0.244122,0.364415,False
MLP,456,8,0.236729,0.360077,False
MLP,456,9,0.23107,0.357525,False
MLP,456,10,0.226293,0.36151,False
MLP,456,11,0.222096,0.348403,False
MLP,456,12,0.218576,0.350525,False
MLP,456,13,0.214751,0.35278,False
MLP,456,14,0.21196,0.349865,False
MLP,456,15,0.208897,0.35373,False
MLP,456,16,0.20617,0.355981,False
MLP,456,17,0.20355,0.34836,False
MLP,456,18,0.201015,0.350616,False
MLP,456,19,0.198639,0.352515,False
MLP,456,20,0.196174,0.349335,False
MLP,456,21,0.194287,0.341537,True
MLP,456,22,0.192106,0.351455,False
MLP,456,23,0.190256,0.352992,False
MLP,456,24,0.188104,0.356615,False
MLP,456,25,0.186432,0.350349,False
MLP,456,26,0.184773,0.346877,False
MLP,456,27,0.18311,0.354875,False
MLP,456,28,0.18157,0.351164,False
MLP,456,29,0.180032,0.354344,False
MLP,456,30,0.178424,0.349324,False
MLP,456,31,0.177042,0.349337,False
LSTM,42,1,0.968313,0.96164,False
LSTM,42,2,0.772521,0.913707,False
LSTM,42,3,0.616245,0.861876,False
LSTM,42,4,0.532464,0.818129,False
LSTM,42,5,0.489467,0.778688,False
LSTM,42,6,0.46356,0.748008,False
LSTM,42,7,0.442954,0.715123,False
LSTM,42,8,0.420941,0.669393,False
LSTM,42,9,0.395823,0.622626,False
LSTM,42,10,0.370152,0.590497,False
LSTM,42,11,0.347116,0.55683,False
LSTM,42,12,0.33004,0.522938,False
LSTM,42,13,0.318049,0.506651,False
LSTM,42,14,0.309318,0.49023,False
LSTM,42,15,0.302236,0.474345,False
LSTM,42,16,0.296753,0.469813,False
LSTM,42,17,0.292224,0.465491,False
LSTM,42,18,0.288058,0.454885,False
LSTM,42,19,0.284367,0.449621,False
LSTM,42,20,0.280818,0.446004,False
LSTM,42,21,0.277392,0.446144,False
LSTM,42,22,0.274188,0.448236,False
LSTM,42,23,0.271582,0.443669,False
LSTM,42,24,0.268332,0.438,True
LSTM,42,25,0.265143,0.439457,False
LSTM,42,26,0.262282,0.441196,False
LSTM,42,27,0.25962,0.441152,False
LSTM,42,28,0.257113,0.448313,False
LSTM,42,29,0.254153,0.441753,False
LSTM,42,30,0.251557,0.443618,False
LSTM,42,31,0.249066,0.446863,False
LSTM,42,32,0.246743,0.452237,False
LSTM,42,33,0.244332,0.44495,False
LSTM,42,34,0.241843,0.447401,False
LSTM,123,1,0.95778,0.969073,False
LSTM,123,2,0.746178,0.931872,False
LSTM,123,3,0.622898,0.882789,False
LSTM,123,4,0.552988,0.845739,False
LSTM,123,5,0.510498,0.80974,False
LSTM,123,6,0.477585,0.775438,False
LSTM,123,7,0.451317,0.735269,False
LSTM,123,8,0.424138,0.686918,False
LSTM,123,9,0.396841,0.643132,False
LSTM,123,10,0.37364,0.602451,False
LSTM,123,11,0.353008,0.566222,False
LSTM,123,12,0.335624,0.536614,False
LSTM,123,13,0.323353,0.516341,False
LSTM,123,14,0.314035,0.501269,False
LSTM,123,15,0.306655,0.48811,False
LSTM,123,16,0.301055,0.474508,False
LSTM,123,17,0.296389,0.465755,False
LSTM,123,18,0.292351,0.45989,False
LSTM,123,19,0.288593,0.456444,False
LSTM,123,20,0.285354,0.448974,False
LSTM,123,21,0.282537,0.450623,False
LSTM,123,22,0.279524,0.45052,False
LSTM,123,23,0.276907,0.449525,False
LSTM,123,24,0.274363,0.44702,False
LSTM,123,25,0.271849,0.444768,False
LSTM,123,26,0.269466,0.450174,False
LSTM,123,27,0.2669,0.446177,False
LSTM,123,28,0.264552,0.44394,False
LSTM,123,29,0.262169,0.452654,False
LSTM,123,30,0.26017,0.445677,False
LSTM,123,31,0.257832,0.439551,False
LSTM,123,32,0.255641,0.443688,False
LSTM,123,33,0.25309,0.437201,False
LSTM,123,34,0.250914,0.437888,False
LSTM,123,35,0.248623,0.438823,False
LSTM,123,36,0.246336,0.438301,False
LSTM,123,37,0.244148,0.43034,True
LSTM,123,38,0.241899,0.436418,False
LSTM,123,39,0.240033,0.435617,False
LSTM,123,40,0.237954,0.433795,False
LSTM,123,41,0.235783,0.437868,False
LSTM,123,42,0.233971,0.437291,False
LSTM,123,43,0.232036,0.437397,False
LSTM,123,44,0.230046,0.443902,False
LSTM,123,45,0.228448,0.443063,False
LSTM,123,46,0.226804,0.441973,False
LSTM,123,47,0.225245,0.442938,False
LSTM,456,1,0.954496,0.963829,False
LSTM,456,2,0.733394,0.909302,False
LSTM,456,3,0.600592,0.868931,False
LSTM,456,4,0.533219,0.81701,False
LSTM,456,5,0.488561,0.760909,False
LSTM,456,6,0.457929,0.715004,False
LSTM,456,7,0.431467,0.669198,False
LSTM,456,8,0.404674,0.626165,False
LSTM,456,9,0.380874,0.587632,False
LSTM,456,10,0.358944,0.553519,False
LSTM,456,11,0.339262,0.525532,False
LSTM,456,12,0.325235,0.509401,False
LSTM,456,13,0.315322,0.493529,False
LSTM,456,14,0.308218,0.481136,False
LSTM,456,15,0.302158,0.476304,False
LSTM,456,16,0.297133,0.464001,False
LSTM,456,17,0.292803,0.460332,False
LSTM,456,18,0.288706,0.45375,False
LSTM,456,19,0.284738,0.45013,False
LSTM,456,20,0.281237,0.4437,False
LSTM,456,21,0.278062,0.438305,False
LSTM,456,22,0.274952,0.436415,False
LSTM,456,23,0.271756,0.430217,False
LSTM,456,24,0.268411,0.436244,False
LSTM,456,25,0.265748,0.429468,False
LSTM,456,26,0.262602,0.420832,False
LSTM,456,27,0.260499,0.424629,False
LSTM,456,28,0.257502,0.417522,False
LSTM,456,29,0.254975,0.425843,False
LSTM,456,30,0.252304,0.423854,False
LSTM,456,31,0.249735,0.421518,False
LSTM,456,32,0.247386,0.415223,False
LSTM,456,33,0.245363,0.416977,False
LSTM,456,34,0.243567,0.414941,False
LSTM,456,35,0.241113,0.4173,False
LSTM,456,36,0.239147,0.415525,False
LSTM,456,37,0.237047,0.417899,False
LSTM,456,38,0.235348,0.416777,False
LSTM,456,39,0.2339,0.411906,True
LSTM,456,40,0.232127,0.418112,False
LSTM,456,41,0.230192,0.414764,False
LSTM,456,42,0.22872,0.417709,False
LSTM,456,43,0.227012,0.425346,False
LSTM,456,44,0.22531,0.425094,False
LSTM,456,45,0.224512,0.417594,False
LSTM,456,46,0.222872,0.421948,False
LSTM,456,47,0.221028,0.424629,False
LSTM,456,48,0.219673,0.424764,False
LSTM,456,49,0.218161,0.423736,False
